,NPA,Vacant_Land,Vacant_Land_Area,Commercial_Construction,Commercial_Construction_Permitted_Units,Commercial_Size,Commercial_Size_Total,Commercial_Building_Age,Impervious_Surface,Impervious_Surface_Area,Adopt_a_Stream,Adopt_a_Stream_Length,Pharmacy_Proximity,Pharmacy_Proximate_Units,Housing_Density,Housing_Units,Single_Family_Housing,Single_Family_Units,Housing_Size,Housing_Age,New_Residential,New_Residential_Permit_Units,Residential_Renovation,Residential_Renovation_Permit_Units,Foreclosures,Foreclosed_Units,Housing_Violations,Housing_Violations_Total,Street_Connectivity,Transit_Proximity,Transit_Proximate_Units,Violent_Crime_Rate,Property_Crime_Rate,Combined_Crime_Rate,Violent_Crime_Rate_Log2,Property_Crime_Rate_Log2,Violent_Crime_Rate_Class,Property_Crime_Rate_Class
10,12.0,1.2,2.0,4.41,7.0,14059.0,126534.0,32.0,56,35.3,100.0,1.27,100.0,1257.0,7.9,1257,0.0,0.0,,,0.0,0.0,0.0,0.0,0.4,3.0,1.27,16.0,1.05,100.0,1257.0,6.97256638936,6.97256638936,6.97256638936,2.6405617564,2.6405617564,2.0,2.0
11,13.0,1.3,6.0,2.4,11.0,22780.0,1389568.0,39.0,157,34.3,,,24.0,435.0,4.0,1830,34.0,630.0,1337.0,58.0,0.22,1.0,4.81,22.0,0.0,0.0,0.44,8.0,1.24,100.0,1830.0,1.74314159734,6.97256638936,4.35785399335,1.3202808782,2.6405617564,1.0,2.0
12,14.0,6.1,27.0,0.46,2.0,10143.0,91284.0,22.0,89,20.4,32.0,0.64,63.0,1010.0,3.7,1613,54.0,877.0,1884.0,19.0,0.0,0.0,2.75,12.0,0.3,3.0,0.37,6.0,1.08,74.0,1198.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
13,15.0,4.2,29.0,0.0,0.0,6665.0,26658.0,39.0,95,13.8,100.0,1.79,0.0,0.0,1.2,838,95.0,799.0,2338.0,40.0,0.43,3.0,3.77,26.0,0.1,1.0,0.24,2.0,1.18,0.0,0.0,0.0,6.97256638936,3.48628319468,0.0,2.6405617564,0.0,2.0
14,16.0,2.1,15.0,1.93,14.0,13866.0,540790.0,40.0,157,21.7,100.0,2.12,67.0,1422.0,2.9,2114,56.0,1191.0,1473.0,45.0,0.0,0.0,3.04,22.0,0.9,13.0,0.71,15.0,1.2,98.0,2062.0,6.97256638936,6.97256638936,6.97256638936,2.6405617564,2.6405617564,2.0,2.0
15,17.0,2.2,,0.0,0.0,11130.0,233728.0,37.0,87,19.2,0.0,0.0,33.0,416.0,2.8,1253,69.0,859.0,1612.0,45.0,0.0,0.0,2.43,11.0,0.4,3.0,2.15,27.0,1.18,100.0,1253.0,1.74314159734,6.97256638936,4.35785399335,1.3202808782,2.6405617564,1.0,2.0
16,18.0,8.0,49.0,1.79,11.0,31914.0,414876.0,27.0,140,22.8,68.96,2.91,73.0,1243.0,2.8,1693,42.0,709.0,3017.0,43.0,4.06,25.0,10.57,65.0,0.0,0.0,0.83,14.0,1.16,100.0,1693.0,0.0,6.97256638936,3.48628319468,0.0,2.6405617564,0.0,2.0
17,19.0,2.6,22.0,0.84,7.0,4984.0,29906.0,45.0,161,19.2,100.0,4.01,35.0,618.0,2.1,1762,64.0,1122.0,2298.0,43.0,2.15,18.0,7.28,61.0,0.4,7.0,0.28,5.0,1.15,98.0,1718.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
18,20.0,4.0,16.0,9.02,36.0,23519.0,47037.0,12.0,93,23.3,14.29,0.19,75.0,1083.0,3.6,1452,52.0,760.0,1936.0,20.0,0.0,0.0,5.01,20.0,0.2,2.0,0.07,1.0,1.08,42.0,606.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
19,21.0,8.1,74.0,1.86,17.0,17208.0,2959696.0,48.0,254,27.8,25.0,0.77,43.0,532.0,1.3,1224,28.0,347.0,1418.0,36.0,0.11,1.0,0.66,6.0,1.5,6.0,0.9,11.0,1.18,100.0,1224.0,6.97256638936,6.97256638936,6.97256638936,2.6405617564,2.6405617564,2.0,2.0
20,22.0,8.6,27.0,3.5,11.0,14635.0,1112235.0,63.0,77,24.5,100.0,1.16,0.0,0.0,1.6,508,36.0,185.0,1116.0,70.0,0.32,1.0,0.32,1.0,0.0,0.0,1.57,8.0,1.22,100.0,508.0,6.97256638936,6.97256638936,6.97256638936,2.6405617564,2.6405617564,2.0,2.0
21,23.0,14.5,41.0,0.36,1.0,45398.0,272385.0,26.0,47,16.7,100.0,1.7,0.0,0.0,2.0,550,35.0,191.0,1460.0,35.0,0.71,2.0,2.85,8.0,0.0,0.0,1.82,,1.0,84.0,460.0,1.74314159734,6.97256638936,4.35785399335,1.3202808782,2.6405617564,1.0,2.0
22,24.0,3.5,6.0,0.56,1.0,11177.0,167656.0,50.0,38,21.1,,,33.0,147.0,2.5,446,74.0,328.0,1488.0,60.0,0.0,0.0,11.66,21.0,0.0,0.0,0.0,0.0,1.25,100.0,446.0,0.0,6.97256638936,3.48628319468,0.0,2.6405617564,0.0,2.0
23,25.0,4.5,29.0,0.15,1.0,34759.0,208555.0,24.0,118,18.1,40.67,1.09,26.0,296.0,1.7,1118,76.0,853.0,2807.0,28.0,1.68,11.0,6.43,42.0,0.1,1.0,0.09,1.0,1.08,37.0,418.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
