,NPA,Vacant_Land,Vacant_Land_Area,Commercial_Construction,Commercial_Construction_Permitted_Units,Commercial_Size,Commercial_Size_Total,Commercial_Building_Age,Impervious_Surface,Impervious_Surface_Area,Adopt_a_Stream,Adopt_a_Stream_Length,Pharmacy_Proximity,Pharmacy_Proximate_Units,Housing_Density,Housing_Units,Single_Family_Housing,Single_Family_Units,Housing_Size,Housing_Age,New_Residential,New_Residential_Permit_Units,Residential_Renovation,Residential_Renovation_Permit_Units,Foreclosures,Foreclosed_Units,Housing_Violations,Housing_Violations_Total,Street_Connectivity,Transit_Proximity,Transit_Proximate_Units,Violent_Crime_Rate,Property_Crime_Rate,Combined_Crime_Rate,Violent_Crime_Rate_Log2,Property_Crime_Rate_Log2,Violent_Crime_Rate_Class,Property_Crime_Rate_Class
24,26,21.8,246,0.09,1,3082.0,15410.0,38.0,77,6.8,0.0,0.0,0.0,0.0,0.9,1068,100.0,1068.0,2044.0,22.0,0.97,11,0.8,9,0.8,9.0,0.0,0.0,1.03,13,134.0,0.0,4.85781087082,2.42890543541,0.0,2.204044208,0.0,1.0
25,27,6.4,21,0.0,0,17736.0,70945.0,25.0,55,17.1,0.0,0.0,68.0,674.0,3.1,988,68.0,676.0,1546.0,19.0,0.0,0,2.18,7,1.2,11.0,0.0,0.0,1.08,90,885.0,0.0,4.85781087082,2.42890543541,0.0,2.204044208,0.0,1.0
26,28,0.2,0,1.55,3,95684.0,287052.0,36.0,62,32.0,100.0,1.06,93.0,511.0,2.8,550,48.0,261.0,2986.0,50.0,2.06,4,6.7,13,0.0,0.0,0.18,1.0,1.31,100,550.0,0.0,19.4312434833,9.71562174164,0.0,4.408088416,0.0,2.0
27,29,3.2,13,0.24,1,1066.0,1066.0,15.0,65,15.9,67.95,4.07,0.0,0.0,1.4,565,54.0,306.0,2840.0,33.0,0.24,1,2.94,12,0.0,0.0,0.18,1.0,1.02,26,148.0,0.0,4.85781087082,2.42890543541,0.0,2.204044208,0.0,1.0
28,30,3.6,17,6.71,32,12617.0,1551857.0,53.0,143,30.0,100.0,1.08,52.0,511.0,2.1,987,13.0,129.0,866.0,53.0,8.8,42,0.0,0,2.5,2.0,1.22,12.0,1.25,100,987.0,6.97256638936,19.4312434833,13.2019049363,2.6405617564,4.408088416,2.0,2.0
29,31,1.1,4,0.26,1,4481.0,8962.0,34.0,74,19.2,100.0,1.84,4.0,28.0,1.8,677,84.0,571.0,3064.0,46.0,0.52,2,9.1,35,0.1,1.0,0.0,0.0,1.21,62,421.0,0.0,4.85781087082,2.42890543541,0.0,2.204044208,0.0,1.0
32,34,41.1,382,0.54,5,36600.0,256199.0,36.0,59,6.4,0.0,0.0,35.0,292.0,0.9,824,83.0,685.0,1305.0,41.0,0.97,9,1.08,10,2.4,20.0,5.1,42.0,1.13,28,228.0,1.74314159734,19.4312434833,10.5871925403,1.3202808782,4.408088416,1.0,2.0
33,35,45.0,1025,0.18,4,21070.0,863864.0,41.0,144,6.3,86.64,2.01,0.0,0.0,0.4,892,90.0,806.0,2130.0,24.0,3.82,87,0.83,19,0.2,2.0,0.45,4.0,1.27,0,0.0,1.74314159734,19.4312434833,10.5871925403,1.3202808782,4.408088416,1.0,2.0
34,36,3.9,23,0.84,5,8811.0,273134.0,26.0,103,17.4,100.0,4.19,32.0,393.0,2.1,1232,64.0,793.0,1947.0,36.0,0.51,3,4.55,27,0.8,8.0,0.24,3.0,1.1,61,753.0,0.0,4.85781087082,2.42890543541,0.0,2.204044208,0.0,1.0
35,37,9.7,24,0.0,0,7347.0,235105.0,69.0,56,23.0,100.0,1.16,4.0,34.0,3.2,774,80.0,619.0,1072.0,63.0,2.47,6,12.33,30,0.0,0.0,4.39,34.0,1.42,100,774.0,6.97256638936,19.4312434833,13.2019049363,2.6405617564,4.408088416,2.0,2.0
